"MTICD","MTICD_NAME","MTICD_ENG_NAME","MTICD_DC","MTICD_ENG_DC"
"821143","칼라TV TV 기타","colortv"," 칼라티비, 컬러티비, 티비 "," colortv, tv "
"821170","칼라TV 칼라TV부품","tv part of colortv color"," 티비튜너, 칼라티비부품, 컬러티비부품 "," tv, part colortv, tuner "
"821210","흑백TV","and black white tv"," 흑백티비, 흑백TV "," blackandwhitetv, tv "
"821220","흑백TV부품 흑백TV","tv black part and white of"," 흑백티비부품, 흑백TV부품, 흑백티비부분품, 흑백TV부분품 "," part blackandwhitetv "
"821310","VCR","VCR"," 비디오테이프녹화기 "," vcr "
"821320","VCR VCR부품","part VCR"," 비디오테이프녹화기부품, 비디오테이프녹화기부분품, 비디오테이프녹화부품 "," part vcr "
"821410","캠코더 비디오카메라","camcorder camera video"," 비디오카메라, 비디오카메라레코더, 캠코더 "," videocamera, camcorder "
"821490","기타비디오카메라 비디오카메라","other camera video"," 기타비디오카메라, 비디오카메라, 정지화상비디오카메라 "," other videocamera "
"821500","영상기록매체","video recorder"," 영상기록매체, 영상장비 "," video recorder "
"822100","라디오","radio"," 기타라디오, 라디오, 음향기기 "," radio "
"822210","휴대용라디오카세트 라디오카세트","radio cassette portable"," 휴대용라디오카세트, 휴대용음향기기, 휴대용라디오, 휴대용카세트 "," portableradio, portablecassette "
"822290","라디오카세트 기타라디오카세트","other radio cassette"," 기타라디오카세트, 라디오카세트 "," other radio cassette "
"822340","데크 카스테레오","car deck stereo"," 데크, 디스크형, 음향기기, 카세트형, 카세트형음향기기, 카스테레오   "," videodeck, stereodeck, carstereo "
"822420","컴포넌트 레코드플레이어","player component record"," 레코드플레이어, 컴포넌트스테레오 "," recordplayer, componentstereo, loudspeaker "
"822490","기타컴포넌트 컴포넌트","other component"," 가청주파증폭기, 고주파증폭기, 광대역고주파증폭기, 기타컴포넌트, 오디오믹서, 이퀄라이저, 컴포넌트 "," other componentstereo "
"822500","스피커","speaker"," 스피커, 메가폰 "," speaker, megaphone "
"822610","마이크로폰 마이크및헤드폰","microphone headphone"," 기타마이크로폰, 마이크로폰, 마이크, 헤드폰 "," microphone, headphone "
"822710","오디오테이프 오디오테이프및레코드","and tape audio record"," 오디오테이프, 오디오 "," audiotape, audiorecord, audio "
"822720","오디오레코드 오디오테이프및레코드","and tape audio record"," 레코드판, 오디오레코드, 축음기용 "," audiorecord, gramophone "
"822800","음향기기부품","apparatus of audio part"," 수신기기카트리지, 음향기기부품, 음향부품 "," apparatus of audio part "
"822900","기타음향기기","apparatus other audio"," 기타음향기기 "," apparatus other audio "
"823010","냉장고 냉장고(200리터이하)","refrigerator(not exceeding refrigerator 201liter)"," 200리터이하냉장고, 냉장고, 캐리어냉장고 "," refrigerator "
"823020","냉장고 냉장고(200-400리터)","exceeding not 401liter) 200liter refrigerator(exceeding refrigerator but"," 일반냉장고, 냉장고 "," refrigerator "
"823030","냉장고 냉장고(400리터이상)","refrigerator(exceeding refrigerator 401liter)"," 400리터이상냉장고, 냉장고, 김치냉장고 "," refrigerator "
"826910","기타조명기기","apparatus lighting other"," 광산용안전등, 기타조명기기, 깜빠넬로, 수면유도등, 무드등, 조명등, 손전등 "," apparatus lighting other, safetylamp, flashlight, chandelier, bedsidelamp, christmaslamp, campanello "
"823040","냉장고부품 냉장고","part refrigerator"," 냉장고부품, 냉장고부분품, 도어고무패킹, 도어단차조절링 "," part refrigerator "
"824100","세탁기","machine washing"," 세탁기, 드럼세탁기, 일반세탁기, 통돌이세탁기 "," washing machine, washer "
"824110","세탁기 건조기","machine washing"," 빨래건조기, 세탁건조기, 건조기 "," drymachine, dry machine "
"824120","세탁기","machine washing"," 세탁기, 드럼세탁기, 일반세탁기, 통돌이세탁기 "," washing machine, washer "
"824200","에어컨","airconditioner"," 에어컨, 벽걸이에어컨, 2IN1에어컨, 무풍에어컨, 벽걸이형에어컨 "," airconditioner "
"824300","선풍기","fan electric"," 선풍기 "," fan electricfloor, output, table, fan, roof, motor, wall, ceiling, w, window "
"824400","환풍기","ventilator"," 환풍기 "," ventilator, ventilator, hood, horizontal, maximum, side, cm "
"824500","진공청소기","cleaner vacuum"," 물걸레겸용청소기, 로보트형청소기, 로보트청소기, 진공청소기, 청소기, 로봇청소기, 로봇형청소기 "," vacuum "
"824600","믹서","mixer"," 믹서, 믹서기, 블랜더, 음식물분쇄기, 착즙기 "," foodmixer, blender "
"824700","접시세척기","dish washer"," 식기세척기, 접시세척기 "," dishwasher, dish washer "
